source,target,type,weight
Sabremesh,Ok-Imagination-2308,reply,1
Far-Somewhere-1366,Puzzled-Animator-738,reply,1
Far-Somewhere-1366,Sabremesh,reply,1
Far-Somewhere-1366,AxeRudeBell,reply,1
AutoModerator,Reasonable_Mess_3327,reply,1
AutoModerator,jdhmdo,reply,1
AutoModerator,Fuzzy-Arm-6016,reply,1
AutoModerator,FutureisAsian,reply,1
AutoModerator,Far-Somewhere-1366,reply,1
abovaveragefox,FutureisAsian,reply,1
nelbar,FutureisAsian,reply,1
OldManDan20,FutureisAsian,reply,1
RobertLeeSwagger,FutureisAsian,reply,1
ABmodeling,FutureisAsian,reply,1
Screech-,FutureisAsian,reply,1
madhousechild,FutureisAsian,reply,1
dethquatch,FutureisAsian,reply,1
JRM34,FutureisAsian,reply,1
TPMJB,FutureisAsian,reply,1
Adventures_in_living,FutureisAsian,reply,1
IndicaHouseofCards,FutureisAsian,reply,1
Own-Pressure4018,FutureisAsian,reply,1
Alasbabylon103,FutureisAsian,reply,1
tendrloin_aristocrat,FutureisAsian,reply,1
Nov_XxX,FutureisAsian,reply,1
manifestYOdreams,FutureisAsian,reply,1
LordOFtheNoldor,FutureisAsian,reply,1
Exact-Face5535,FutureisAsian,reply,1
Crowbar1127,FutureisAsian,reply,1
kuriouskittyn,FutureisAsian,reply,1
forgotmypassword778,FutureisAsian,reply,1
Granite66,FutureisAsian,reply,1
DOOM_Enthusiast,FutureisAsian,reply,1
1RonnieMund,FutureisAsian,reply,1
Yeahmanbro22,FutureisAsian,reply,1
Nuuskurkoer,FutureisAsian,reply,1
Nuuskurkoer,Sabremesh,reply,1
companion_2_the_wind,FutureisAsian,reply,1
companion_2_the_wind,Sabremesh,reply,1
Zomblovr,FutureisAsian,reply,1
SatanNukeThem,FutureisAsian,reply,1
dafer18,FutureisAsian,reply,1
Delinquent_,FutureisAsian,reply,1
GenerationZ3RO,FutureisAsian,reply,1
nomadofwaves,FutureisAsian,reply,1
AvenTiumn,FutureisAsian,reply,1
PastOtherwise8719,FutureisAsian,reply,1
imboringaskmeanythin,FutureisAsian,reply,1
Digital_Rick,FutureisAsian,reply,1
scud121,FutureisAsian,reply,1
281at2am,FutureisAsian,reply,1
Zealousideal-Poem-24,FutureisAsian,reply,1
Henderson72,FutureisAsian,reply,1
Consciousness_Expand,FutureisAsian,reply,1
Digital-Latte,FutureisAsian,reply,1
grimeydimes,FutureisAsian,reply,1
Jessandthecity,FutureisAsian,reply,1
ordinator2008,FutureisAsian,reply,1
DehydratedCantolope,FutureisAsian,reply,1
sean_incali,FutureisAsian,reply,1
RamblinRod_PDX,FutureisAsian,reply,1
Brekkuskogur,FutureisAsian,reply,1
quiannazaetz,FutureisAsian,reply,1
justsomeguy_why,FutureisAsian,reply,1
FlabbyShabby,FutureisAsian,reply,1
Prestigious-Studio30,FutureisAsian,reply,1
Kdaisy2003,FutureisAsian,reply,1
Orangutan,FutureisAsian,reply,1
Orangutan,Sabremesh,reply,1
MBeMine,FutureisAsian,reply,1
seenunseen,FutureisAsian,reply,1
MegaWorldAdventure,FutureisAsian,reply,1
fanfarius,FutureisAsian,reply,1
Oakwood2317,FutureisAsian,reply,1
Lerianis001,FutureisAsian,reply,1
cngfan,FutureisAsian,reply,1
Peter5930,FutureisAsian,reply,1
Holinhong,FutureisAsian,reply,1
Muteb,FutureisAsian,reply,1
Sero_Nys,FutureisAsian,reply,1
mOfN81,FutureisAsian,reply,1
mikramero,FutureisAsian,reply,1
angstfishyy,FutureisAsian,reply,1
GiorgioOrwelli,FutureisAsian,reply,1
djkoch66,FutureisAsian,reply,1
Hefforama,FutureisAsian,reply,1
gtrackster,FutureisAsian,reply,1
TheTrompler,FutureisAsian,reply,1
PBR21,FutureisAsian,reply,1
AllOfStarDustAllFor1,FutureisAsian,reply,1
rhex1,Sabremesh,reply,1
quecosa,Sabremesh,reply,1
meme_kat,Sabremesh,reply,1
TheCronster,Sabremesh,reply,1
