Id,post_count,comment_count,total_count,avg_score,total_score,sentiment
FutureisAsian,1,1,2,1186.5,2373,Strongly Anti-Ukraine
Sabremesh,1,2,3,339.6666667,1019,Mildly Anti-Ukraine
Far-Somewhere-1366,1,6,7,212.4285714,1487,Strongly Anti-Ukraine
jdhmdo,1,0,1,1509,1509,Neutral
Fuzzy-Arm-6016,1,1,2,436,872,Mildly Anti-Ukraine
Ok-Imagination-2308,1,0,1,537,537,Neutral
Reasonable_Mess_3327,3,3,6,295.1666667,1771,Strongly Anti-Ukraine
AutoModerator,0,7,7,1,7,Neutral
abovaveragefox,0,1,1,232,232,Neutral
nelbar,0,1,1,296,296,Neutral
OldManDan20,0,1,1,129,129,Neutral
RobertLeeSwagger,0,1,1,66,66,Mildly Anti-Ukraine
ABmodeling,0,1,1,35,35,Neutral
Screech-,0,1,1,85,85,Mildly Pro-Ukraine
madhousechild,0,1,1,6,6,Neutral
dethquatch,0,1,1,12,12,Neutral
JRM34,0,1,1,43,43,Mildly Pro-Ukraine
TPMJB,0,1,1,6,6,Neutral
Adventures_in_living,0,1,1,5,5,Neutral
IndicaHouseofCards,0,1,1,30,30,Neutral
Own-Pressure4018,0,1,1,8,8,Neutral
Alasbabylon103,0,1,1,15,15,Mildly Anti-Ukraine
tendrloin_aristocrat,0,1,1,3,3,Neutral
Nov_XxX,0,1,1,3,3,Mildly Anti-Ukraine
manifestYOdreams,0,1,1,11,11,Mildly Anti-Ukraine
LordOFtheNoldor,0,1,1,32,32,Mildly Anti-Ukraine
Exact-Face5535,0,1,1,11,11,Neutral
Crowbar1127,0,1,1,6,6,Neutral
kuriouskittyn,0,1,1,7,7,Neutral
forgotmypassword778,0,1,1,10,10,Neutral
Granite66,0,1,1,3,3,Mildly Anti-Ukraine
DOOM_Enthusiast,0,1,1,3,3,Neutral
1RonnieMund,0,1,1,2,2,Neutral
Yeahmanbro22,0,1,1,2,2,Neutral
Nuuskurkoer,0,2,2,2,4,Neutral
companion_2_the_wind,0,3,3,90.66666667,272,Strongly Anti-Ukraine
Zomblovr,0,1,1,2,2,Mildly Anti-Ukraine
SatanNukeThem,0,1,1,2,2,Neutral
dafer18,0,1,1,2,2,Mildly Anti-Ukraine
Delinquent_,0,1,1,2,2,Mildly Anti-Ukraine
GenerationZ3RO,0,1,1,2,2,Neutral
nomadofwaves,0,1,1,2,2,Neutral
AvenTiumn,0,1,1,2,2,Neutral
PastOtherwise8719,0,1,1,2,2,Mildly Pro-Ukraine
imboringaskmeanythin,0,1,1,2,2,Strongly Anti-Ukraine
Digital_Rick,0,1,1,2,2,Neutral
scud121,0,1,1,6,6,Neutral
281at2am,0,1,1,6,6,Mildly Anti-Ukraine
Zealousideal-Poem-24,0,1,1,4,4,Neutral
Henderson72,0,1,1,6,6,Mildly Pro-Ukraine
Consciousness_Expand,0,1,1,3,3,Mildly Anti-Ukraine
Digital-Latte,0,1,1,7,7,Mildly Anti-Ukraine
grimeydimes,0,1,1,3,3,Mildly Anti-Ukraine
Jessandthecity,0,1,1,2,2,Neutral
ordinator2008,0,1,1,2,2,Neutral
DehydratedCantolope,0,1,1,2,2,Mildly Pro-Ukraine
sean_incali,0,1,1,2,2,Neutral
RamblinRod_PDX,0,1,1,1,1,Neutral
Brekkuskogur,0,1,1,-3,-3,Mildly Pro-Ukraine
quiannazaetz,0,1,1,1,1,Neutral
justsomeguy_why,0,1,1,0,0,Strongly Pro-Ukraine
FlabbyShabby,0,1,1,0,0,Neutral
Prestigious-Studio30,0,1,1,-3,-3,Mildly Anti-Ukraine
Kdaisy2003,0,1,1,1,1,Neutral
Orangutan,0,4,4,5.25,21,Strongly Anti-Ukraine
MBeMine,0,1,1,1,1,Neutral
seenunseen,0,1,1,1,1,Neutral
MegaWorldAdventure,0,1,1,1,1,Strongly Pro-Ukraine
fanfarius,0,1,1,1,1,Strongly Anti-Ukraine
Oakwood2317,0,1,1,1,1,Strongly Pro-Ukraine
Lerianis001,0,1,1,1,1,Neutral
cngfan,0,1,1,1,1,Neutral
Peter5930,0,1,1,1,1,Neutral
Holinhong,0,1,1,1,1,Neutral
Muteb,0,1,1,1,1,Mildly Pro-Ukraine
Sero_Nys,0,1,1,1,1,Neutral
mOfN81,0,1,1,1,1,Neutral
mikramero,0,1,1,1,1,Neutral
angstfishyy,0,1,1,1,1,Neutral
GiorgioOrwelli,0,1,1,1,1,Neutral
djkoch66,0,1,1,0,0,Neutral
Hefforama,0,1,1,-14,-14,Mildly Pro-Ukraine
gtrackster,0,1,1,0,0,Strongly Pro-Ukraine
TheTrompler,0,1,1,0,0,Neutral
PBR21,0,1,1,-9,-9,Mildly Pro-Ukraine
AllOfStarDustAllFor1,0,1,1,0,0,Mildly Anti-Ukraine
rhex1,0,1,1,365,365,Neutral
quecosa,0,1,1,167,167,Mildly Pro-Ukraine
meme_kat,0,2,2,31.5,63,Strongly Anti-Ukraine
TheCronster,0,1,1,73,73,Neutral
sHaDowpUpPetxxx,0,1,1,89,89,Neutral
Inlovewithmysidechik,0,8,8,18.75,150,Strongly Anti-Ukraine
Super_Buy_6243,0,1,1,15,15,Neutral
hilljc,0,1,1,50,50,Mildly Pro-Ukraine
uusernameunknown,0,1,1,4,4,Neutral
QisJimWatkins,0,1,1,5,5,Neutral
PrognosticatorShadow,0,1,1,26,26,Neutral
AFbeardguy,0,1,1,23,23,Mildly Anti-Ukraine
PlanB_pedofile,0,1,1,18,18,Mildly Anti-Ukraine
Wavycapmurphy,0,1,1,4,4,Neutral
amazonkevin,0,5,5,8.4,42,Strongly Anti-Ukraine
girouxc,0,1,1,15,15,Mildly Anti-Ukraine
Swawks,0,1,1,28,28,Mildly Anti-Ukraine
Breakfastamateur,0,1,1,11,11,Neutral
tfiggs,0,1,1,9,9,Neutral
moeronSCamp,0,1,1,3,3,Neutral
TeeZeeRC,0,3,3,5.666666667,17,Neutral
fiero444,0,2,2,8.5,17,Neutral
spaceboy42069,0,1,1,14,14,Mildly Anti-Ukraine
Parking_Meater,0,1,1,10,10,Neutral
AdmirableRow7304,0,2,2,7,14,Mildly Anti-Ukraine
freshseedsown,0,1,1,6,6,Neutral
MysteriousTBird,0,1,1,8,8,Strongly Pro-Ukraine
Chillbruh469,0,1,1,7,7,Mildly Anti-Ukraine
miziidris,0,1,1,11,11,Mildly Anti-Ukraine
truthesda,0,2,2,8,16,Strongly Anti-Ukraine
Iakobab,0,1,1,2,2,Neutral
frankrizzo1,0,1,1,2,2,Neutral
The1andonlycano,0,1,1,2,2,Neutral
Grandmaster_Flash-,0,1,1,15,15,Mildly Anti-Ukraine
intothevoid--,0,1,1,8,8,Neutral
Hunterscrackpipe2,0,1,1,8,8,Mildly Anti-Ukraine
the_green_grundle,0,1,1,5,5,Strongly Pro-Ukraine
fisticuntz,0,1,1,6,6,Strongly Pro-Ukraine
Tetsuiga,0,1,1,7,7,Mildly Anti-Ukraine
Great_Handkerchief,0,1,1,4,4,Mildly Anti-Ukraine
Zxphenomenalxz,0,1,1,3,3,Strongly Pro-Ukraine
Haunting_Quote2277,0,1,1,2,2,Neutral
Hoz85,0,1,1,3,3,Strongly Pro-Ukraine
GallopingFlicka,0,1,1,3,3,Neutral
JoeyDiazcocksuckas,0,1,1,1,1,Neutral
ClarityofSignal,0,1,1,2,2,Neutral
danny12beje,0,1,1,1,1,Neutral
Hipster_Troll29,0,1,1,4,4,Neutral
2uxGlAapnsFLb,0,1,1,3,3,Neutral
Trick_Context2587,0,1,1,4,4,Neutral
blueskiesatwar,0,1,1,0,0,Mildly Anti-Ukraine
ThreeLittlePuigs,0,1,1,-1,-1,Strongly Pro-Ukraine
AStarRiver,0,1,1,0,0,Neutral
s0lesearching117,0,1,1,0,0,Neutral
languid_flower,0,1,1,2,2,Mildly Anti-Ukraine
FatTony707,0,1,1,0,0,Neutral
Fallen_Angel_69,0,1,1,1,1,Neutral
zesty1989,0,1,1,1,1,Neutral
americanjerky,0,1,1,74,74,Neutral
Puzzled-Animator-738,0,1,1,65,65,Neutral
Kirstencast,0,1,1,55,55,Mildly Anti-Ukraine
olliethegoldsmith,0,1,1,93,93,Strongly Anti-Ukraine
loyalladyloves,0,1,1,19,19,Neutral
ringopendragon,0,1,1,3,3,Neutral
FuzzyBumFluff,0,1,1,28,28,Strongly Anti-Ukraine
FruitFlavor12,0,1,1,2,2,Neutral
yell0w8,0,2,2,2.5,5,Mildly Anti-Ukraine
Settlemente,0,1,1,3,3,Neutral
Frownywise,0,1,1,2,2,Mildly Anti-Ukraine
Fragrant-Progress-32,0,1,1,2,2,Neutral
f50c13t1,0,1,1,2,2,Neutral
Dardanelles5,0,1,1,2,2,Neutral
Retrofire-Pink,0,1,1,1,1,Neutral
AxeRudeBell,0,1,1,1,1,Neutral
Gloomy-Ad1171,0,1,1,1,1,Neutral
Morriseysucksass,0,1,1,1,1,Neutral
rgursk1,0,1,1,1,1,Neutral
FrumiousShuckyDuck,0,1,1,-9,-9,Strongly Pro-Ukraine
ianmoone1102,0,1,1,1,1,Neutral
PurpedUpPat,0,1,1,-9,-9,Strongly Pro-Ukraine
sydneydad,0,1,1,0,0,Mildly Pro-Ukraine
Major-Opportunity-83,0,1,1,-13,-13,Strongly Pro-Ukraine
Stizur,0,1,1,-6,-6,Mildly Pro-Ukraine
dartonite,0,1,1,-5,-5,Strongly Pro-Ukraine
alienrefugee51,0,1,1,-1,-1,Neutral
yeet_bbq,0,1,1,-1,-1,Neutral
